Word	POS	NEG
battery	180	0
number	84	0
function	36	16
very	273	77
also	127	36
the	3144	1526
when	235	56
dull	1	0
safe	1	1
room	90	17
you	682	14
little	122	0
reality	0	5
you	682	0
for	807	0
now	78	0
green	20	0
button	166	22
manage	4	0
enough	98	0
without	52	0
someone	14	0
dud	0	1
power	75	0
number	84	26
arrive	15	4
use	278	0
version	12	0
first	56	0
the	3144	766
happy	37	1
unobtrusive	1	1
find	122	6
really	106	0
you	682	0
min	5	0
one	315	86
very	273	59
when	235	45
emboss	1	0
have	946	0
something	41	3
everything	23	0
minute	90	5
friend	19	0
recommend	69	16
the	3144	1250
none	0	2
whole	9	0
mother	6	0
and	1484	239
think	68	17
like	247	47
down	45	24
alarm	830	0
very	273	0
different	53	21
set	282	1
carry	12	0
the	3144	0
own	29	0
informative	1	0
say	76	21
good	161	45
make	153	26
time	500	86
that	642	0
wake	237	0
either	13	5
look	133	19
happy	37	0
few	51	17
even	88	24
standard	11	0
the	3144	0
time	500	0
see	144	21
buy	167	0
radio	99	52
not	680	220
old	71	0
the	3144	0
functionality	8	0
some	74	1
however	50	18
not	680	77
not	680	353
instruction	30	6
read	121	0
doubt	4	0
fix	5	8
and	1484	179
the	3144	1316
from	136	0
but	349	3
for	807	0
otherwise	14	2
oversleep	6	0
construction	4	1
yeah	4	0
through	42	0
force	6	0
the	3144	1531
down	45	0
harder	4	0
sleeper	47	6
work	206	8
can	296	0
the	3144	0
you	682	237
doesnot	1	0
please	13	3
trip	19	5
quality	30	22
the	3144	0
well	106	0
with	392	0
this	845	0
brookstone	7	2
bed	59	0
buzzer	10	0
this	845	243
for	807	0
closer	2	0
power	75	0
and	1484	0
day	85	12
while	39	22
you	682	18
clock	1098	0
keep	71	0
what	124	0
more	117	0
sometimes	17	0
radio	99	16
have	946	343
that	642	312
never	36	8
far	50	0
might	24	11
noise	32	32
the	3144	1067
display	151	0
somewhat	6	0
that	642	265
alarm	830	5
hunt	3	0
easy	241	0
bed	59	10
month	39	13
advertise	12	0
variety	6	0
and	1484	0
the	3144	0
large	67	0
better	41	21
that	642	76
not	680	179
buttons	2	0
the	3144	0
user	13	5
mention	10	1
combination	5	0
bit	39	3
the	3144	668
not	680	111
over	63	16
little	122	0
can	296	0
transit	1	0
rrb	335	0
bed	59	0
however	50	8
which	145	0
thing	69	3
and	1484	0
son	28	0
loud	108	0
well	106	0
manually	10	0
that	642	269
off	188	65
but	349	0
read	121	7
will	121	8
this	845	22
rrb	335	0
plus	25	0
travel	131	9
they	178	0
clock	1098	0
sound	249	0
this	845	168
happy	37	0
though	32	0
buy	167	0
problem	72	0
very	273	0
reset	31	0
wait	9	4
off	188	0
the	3144	0
can	296	0
suck	0	3
much	73	0
travel	131	0
recommend	69	0
meow	1	0
clock	1098	0
change	69	0
make	153	0
barely	5	8
button	166	5
rrb	335	0
tag	0	2
who	86	0
tinted	0	1
feature	117	0
worthless	0	1
nature	10	10
the	3144	0
find	122	0
wire	8	0
serviceable	1	0
radio	99	40
not	680	382
the	3144	1446
not	680	81
produce	3	2
during	18	0
this	845	238
the	3144	0
have	946	0
one	315	0
position	10	0
the	3144	799
lcb	1	0
resetting	1	0
this	845	36
and	1484	0
treat	2	0
good	161	0
you	682	0
speaker	0	6
bring	6	0
and	1484	0
outline	0	1
astonish	1	0
short	18	11
problem	72	0
use	278	0
when	235	0
can	296	49
underground	1	0
bad	15	6
when	235	0
one	315	0
have	946	336
alarm	830	0
some	74	0
also	127	0
from	136	40
old	71	2
rrb	335	0
for	807	209
the	3144	1182
really	106	34
considerably	0	1
the	3144	201
absolutely	10	3
far	50	0
the	3144	0
someone	14	0
name	6	5
with	392	0
digital	43	13
wake	237	5
under	24	0
similar	8	2
noise	0	7
inch	14	1
off	188	0
just	183	0
that	642	85
before	35	0
for	807	212
the	3144	0
external	0	3
sound	249	59
fall	17	17
alarm	830	0
the	3144	0
off	188	0
other	130	2
could	72	14
and	1484	0
anyway	8	3
want	111	0
work	206	10
vader	19	1
work	206	103
hard	36	13
have	946	0
confuse	3	2
when	235	0
and	1484	580
lay	4	0
less	23	11
this	845	104
have	946	0
clock	1098	0
sure	35	0
wake	237	0
one	315	0
war	11	0
disappointment	4	1
when	235	0
bill	5	0
light	263	0
unbeatable	1	0
weird	4	0
say	76	0
see	144	0
and	1484	0
clock	1098	0
night	134	25
seiko	1	1
two	77	11
test	5	6
that	642	0
there	117	0
use	278	0
weekend	13	0
review	48	7
the	3144	0
the	3144	0
fuzz	1	0
quicker	1	0
miss	7	1
sure	35	0
other	130	0
and	1484	487
volume	55	0
red	30	0
back	98	34
clock	1098	543
zone	25	4
some	74	24
and	1484	0
price	67	0
year	146	16
you	682	0
large	67	0
activate	16	0
often	17	3
the	3144	0
great	204	0
wheel	2	0
snooze	121	0
everything	23	0
not	680	397
clock	1098	89
other	130	3
like	247	0
sound	249	156
time	500	0
that	642	0
one	315	78
not	680	62
would	206	35
dark	71	0
middle	16	1
would	206	63
face	41	18
far	50	0
come	58	10
find	122	4
replace	27	13
lacrosse	1	1
return	11	50
necessary	6	0
much	73	0
open	15	4
this	845	0
battery	180	18
track	3	3
time	500	0
still	69	0
return	11	57
this	845	0
fumble	8	0
instruments	0	2
matte	1	0
lrb	291	56
previous	12	3
always	29	0
ago	24	12
with	392	62
the	3144	1495
enough	98	0
plus	25	0
hear	43	2
feel	20	4
alarm	830	254
take	71	6
skull	0	1
but	349	159
and	1484	0
dark	71	26
purpose	13	0
over	63	0
cost	17	0
add	14	0
the	3144	0
variable	4	0
bright	85	6
whole	9	5
grin	2	0
clear	24	0
see	144	69
itself	36	1
view	11	1
about	121	28
will	121	0
serious	0	2
but	349	205
one	315	0
but	349	0
but	349	137
talented	1	0
daleks	2	0
problem	72	0
clock	1098	170
attractive	10	0
small	93	0
some	74	0
intend	5	1
mine	25	0
travel	131	3
alarm	830	0
compact	29	0
with	392	0
not	680	400
see	144	45
bulb	3	5
for	807	0
very	273	18
she	147	0
and	1484	548
home	29	0
alarm	830	0
radio	99	0
represent	2	0
send	8	12
for	807	0
light	263	91
some	74	0
hand	39	0
point	10	7
you	682	0
read	121	0
that	642	0
contain	1	0
digit	9	0
site	2	0
underestimate	1	0
battery	180	53
nasty	1	0
during	18	0
the	3144	0
have	946	0
have	946	0
look	133	87
hard	36	8
myself	11	0
have	946	0
bacon	1	0
projector	5	0
anymore	5	2
about	121	51
the	3144	1154
figure	20	2
nice	71	2
now	78	0
